case_id,low_reference_activity,few_controls,replicates_disagree,controls_disagree
20170412|759-94-4|0.1,False,False,False,False
20170412|759-94-4|0.3,False,False,False,False
20170412|759-94-4|1,False,False,False,False
20170412|759-94-4|3,False,False,False,False
20170412|759-94-4|10,False,False,False,False
20170412|759-94-4|20,False,False,False,False
20170412|85-01-8|0.03,False,False,False,False
20170412|85-01-8|0.1,False,False,False,False
20170412|85-01-8|0.3,False,False,False,False
20170412|85-01-8|1,False,False,True,False
20170412|85-01-8|3,False,False,False,False
20170412|85-01-8|10,False,False,False,False
20170412|85-01-8|20,False,False,False,False
20170628|1461-22-9|0.0003,True,False,False,False
20170628|1461-22-9|0.001,True,False,False,False
20170628|1461-22-9|0.003,True,False,False,False
20170628|1461-22-9|0.01,True,False,True,False
20170628|1461-22-9|0.03,True,False,False,False
20170628|1461-22-9|0.1,True,False,False,False
20170628|1461-22-9|0.3,True,False,False,False
20170628|2155-70-6|0.0003,True,False,False,False
20170628|2155-70-6|0.001,True,False,False,False
20170628|2155-70-6|0.003,True,False,True,False
20170628|2155-70-6|0.01,True,False,False,False
20170628|2155-70-6|0.03,True,False,False,False
20170628|2155-70-6|0.1,True,False,False,False
20170628|2155-70-6|0.3,True,False,False,False
20170628|62-38-4|0.0003,True,False,False,False
20170628|62-38-4|0.001,True,False,False,False
20170628|62-38-4|0.003,True,False,False,False
20170628|62-38-4|0.01,True,False,False,False
20170628|62-38-4|0.03,True,False,False,False
20170628|62-38-4|0.1,True,False,False,False
20170628|62-38-4|0.3,True,False,False,False
20170628|7487-94-7|0.003,True,False,False,False
20170628|7487-94-7|0.01,True,False,True,False
20170628|7487-94-7|0.03,True,False,False,False
20170628|7487-94-7|0.1,True,False,False,False
20170628|7487-94-7|0.3,True,False,False,False
20170628|7487-94-7|1,True,False,False,False
20170628|7487-94-7|3,True,False,False,False
20170628|75330-75-5|0.003,True,False,False,False
20170628|75330-75-5|0.01,True,False,False,False
20170628|75330-75-5|0.03,True,False,False,False
20170628|75330-75-5|0.1,True,False,False,False
20170628|75330-75-5|0.3,True,False,True,False
20170628|75330-75-5|1,True,False,False,False
20170628|75330-75-5|3,True,False,False,False
20170628|79902-63-9|0.003,True,False,False,False
20170628|79902-63-9|0.01,True,False,True,False
20170628|79902-63-9|0.03,True,False,True,False
20170628|79902-63-9|0.1,True,False,False,False
20170628|79902-63-9|0.3,True,False,False,False
20170628|79902-63-9|1,True,False,False,False
20170628|79902-63-9|3,True,False,False,False
20170712|10453-86-8|0.03,False,False,False,False
20170712|10453-86-8|0.1,False,False,False,False
20170712|10453-86-8|0.3,False,False,False,False
20170712|10453-86-8|1,False,False,False,False
20170712|10453-86-8|3,False,False,False,False
20170712|10453-86-8|10,False,False,False,False
20170712|10453-86-8|20,False,False,False,False
20170712|23031-36-9|0.03,False,False,False,False
20170712|23031-36-9|0.1,False,False,True,False
20170712|23031-36-9|0.3,False,False,False,False
20170712|23031-36-9|1,False,False,False,False
20170712|23031-36-9|3,False,False,False,False
20170712|23031-36-9|10,False,False,False,False
20170712|23031-36-9|20,False,False,False,False
20170712|28434-00-6|0.03,False,False,False,False
20170712|28434-00-6|0.1,False,False,False,False
20170712|28434-00-6|0.3,False,False,False,False
20170712|28434-00-6|1,False,False,False,False
20170712|28434-00-6|3,False,False,False,False
20170712|28434-00-6|10,False,False,True,False
20170712|28434-00-6|20,False,False,False,False
20170712|39515-41-8|0.03,False,False,False,False
20170712|39515-41-8|0.1,False,False,True,False
20170712|39515-41-8|0.3,False,False,False,False
20170712|39515-41-8|1,False,False,False,False
20170712|39515-41-8|3,False,False,True,False
20170712|39515-41-8|10,False,False,False,False
20170712|39515-41-8|20,False,False,False,False
20170712|584-79-2|0.03,False,False,True,False
20170712|584-79-2|0.1,False,False,False,False
20170712|584-79-2|0.3,False,False,False,False
20170712|584-79-2|1,False,False,False,False
20170712|584-79-2|3,False,False,False,False
20170712|584-79-2|10,False,False,False,False
20170712|584-79-2|20,False,False,False,False
20170712|66230-04-4|0.03,False,False,False,False
20170712|66230-04-4|0.1,False,False,True,False
20170712|66230-04-4|0.3,False,False,False,False
20170712|66230-04-4|1,False,False,False,False
20170712|66230-04-4|3,False,False,False,False
20170712|66230-04-4|10,False,False,False,False
20170712|66230-04-4|20,False,False,False,False
20170712|68359-37-5|0.03,False,False,False,False
20170712|68359-37-5|0.1,False,False,False,False
20170712|68359-37-5|0.3,False,False,False,False
20170712|68359-37-5|1,False,False,False,False
20170712|68359-37-5|3,False,False,False,False
20170712|68359-37-5|10,False,False,False,False
20170712|68359-37-5|20,False,False,False,False
20170712|69-65-8|0.03,False,False,False,False
20170712|69-65-8|0.1,False,False,False,False
20170712|69-65-8|0.3,False,False,True,False
20170712|69-65-8|1,False,False,False,False
20170712|69-65-8|3,False,False,False,False
20170712|69-65-8|10,False,False,False,False
20170712|69-65-8|20,False,False,False,False
20170712|7696-12-0|0.03,False,False,False,False
20170712|7696-12-0|0.1,False,False,False,False
20170712|7696-12-0|0.3,False,False,False,False
20170712|7696-12-0|1,False,False,False,False
20170712|7696-12-0|3,False,False,False,False
20170712|7696-12-0|10,False,False,False,False
20170712|7696-12-0|20,False,False,False,False
20170712|79538-32-2|0.03,False,False,True,False
20170712|79538-32-2|0.1,False,False,False,False
20170712|79538-32-2|0.3,False,False,False,False
20170712|79538-32-2|1,False,False,False,False
20170712|79538-32-2|3,False,False,False,False
20170712|79538-32-2|10,False,False,False,False
20170712|79538-32-2|20,False,False,False,False
20170712|80844-07-1|0.03,False,False,False,False
20170712|80844-07-1|0.1,False,False,False,False
20170712|80844-07-1|0.3,False,False,True,False
20170712|80844-07-1|1,False,False,False,False
20170712|80844-07-1|3,False,False,False,False
20170712|80844-07-1|10,False,False,False,False
20170712|80844-07-1|20,False,False,False,False
20170712|82657-04-3|0.03,False,False,False,False
20170712|82657-04-3|0.1,False,False,True,False
20170712|82657-04-3|0.3,False,False,False,False
20170712|82657-04-3|1,False,False,True,False
20170712|82657-04-3|3,False,False,False,False
20170712|82657-04-3|10,False,False,False,False
20170712|82657-04-3|20,False,False,False,False
20170809|1095-90-5|0.03,True,False,False,False
20170809|1095-90-5|0.1,True,False,False,False
20170809|1095-90-5|0.3,True,False,False,False
20170809|1095-90-5|1,True,False,False,False
20170809|1095-90-5|3,True,False,False,False
20170809|1095-90-5|10,True,False,False,False
20170809|1095-90-5|20,True,False,False,False
20170809|124378-77-4|0.03,False,False,True,False
